,word,markdown,first,second
450,conveys,0,0,0
3738,convince,,0,0
3139,convincing,,0,0
3772,convoluted,,0,0
504,cookie,0,0,0
543,cookies,0,0,0
47,cool,8,artstyle,style
1923,cooler,8,artstyle,style
207,coolest,8,artstyle,style
513,coolness,8,artstyle,style
5853,cooperative,9,personalities,style
960,cop,10,jobdesc,style
2115,copied,0,0,0
5432,cops,10,jobdesc,style
1215,copwoman,10,jobdesc,style
5640,copy,0,0,0
3192,corner,,0,0
3457,cornered,,0,0
2395,corners,,0,0
5502,corny,,0,0
4115,correct,,0,0
4692,correspond,,0,0
5431,corrupt,,0,0
6516,corset,,0,0
5633,cosmetically,,0,0
780,cost,0,0,0
394,costume,5,outfit,character
6157,costumed,,0,0
1335,costumeoutfit,,0,0
3020,costumes,,0,0
1112,couldnt,,0,0
1333,count,,0,0
5775,counter,,0,0
4727,countless,,0,0
3652,country,,0,0
1299,couple,,0,0
4971,courageous,,0,0
703,couragious,9,personalities,style
511,course,0,0,0
3782,cover,,0,0
4059,coverage,,0,0
437,covered,5,outfit,character
387,covering,5,outfit,character
120,covers,5,outfit,character
4385,covid,,0,0
5480,coward,,0,0
236,cowboy,10,jobdesc,style
3508,cozy,,0,0
2036,crab,,0,0
4256,craft,,0,0
4772,crafted,,0,0
4362,crafting,,0,0
4389,crane,,0,0
4586,craneworker,,0,0
2347,crannies,,0,0
4064,crap,,0,0
5697,crappier,,0,0
3007,crappy,,0,0
4816,crater,,0,0
4808,craters,,0,0
6641,crazed,,0,0
683,crazy,9,personalities,style
2971,creases,,0,0
2605,create,,0,0
1169,created,,0,0
1509,creates,,0,0
4576,creating,,0,0
1949,creations,,0,0
186,creative,9,personalities,style
914,creativity,,0,0
6414,creators,,0,0
1944,creature,,0,0
2450,creaturef,,0,0
1957,creatures,,0,0
755,credibility,0,0,0
721,creep,3,pose,character
314,creepy,9,personalities,style
361,crime,11,experience,style
6174,crimes,,0,0
4486,criminal,,0,0
5305,criminality,,0,0
5258,criminals,,0,0
2143,crimsonred,,0,0
473,crisis,11,experience,style
1541,crisp,,0,0
1518,crisper,,0,0
1108,criteria,,0,0
37,critical,0,0,0
4145,croft,,0,0
1298,croftesque,,0,0
5427,crooked,,0,0
5438,crookeddisloyal,,0,0
4073,crop,,0,0
2075,cross,,0,0
191,crossbow,6,weapon,character
70,crossbows,6,weapon,character
1854,crossed,,0,0
6068,crossover,,0,0
5448,crouching,,0,0
5299,crowbar,,0,0
1883,crowd,,0,0
6355,crowds,,0,0
6070,crown,,0,0
4128,crude,,0,0
6668,cruel,,0,0
2474,cruelty,,0,0
3308,crumbling,,0,0
2636,crystals,,0,0
964,cs,,0,0
873,cthis,,0,0
2472,cthulhu,,0,0
5681,cuban,,0,0
2688,cuddle,,0,0
2687,cuddly,,0,0
2680,cuddlyapproachable,,0,0
5157,culture,,0,0
4866,cunning,,0,0
4329,cup,,0,0
2445,curiosity,,0,0
1672,curious,,0,0
6005,current,,0,0
6624,currently,,0,0
1293,curves,,0,0
1399,curvy,,0,0
5080,customer,,0,0
3235,customers,,0,0
4930,customizability,,0,0
1813,customizable,,0,0
5920,customized,,0,0
723,cut,0,0,0
36,cute,8,artstyle,style
4111,cuter,,0,0
2708,cutest,,0,0
2697,cutesy,,0,0
3149,cutoff,,0,0
1504,cutout,11,experience,style
4215,cutsinjuries,4,body,character
3001,cv,0,0,0
3480,cwith,0,0,0
1063,cyber,8,artstyle,style
1948,cybernetic,8,artstyle,style
1422,cyberpunk,8,artstyle,style
5852,cyberpunktech,8,artstyle,style
1990,cyborgs,8,artstyle,style
1577,cycle,0,0,0
6029,da,0,0,0
6346,dac,,0,0
6675,dagger,,0,0
6663,daggers,,0,0
4605,daily,,0,0
4591,dainty,,0,0
5043,daisy,,0,0
230,damage,11,experience,style
3493,damaged,,0,0
3496,dame,,0,0
1213,dancer,,0,0
2352,danger,,0,0
445,dangerous,8,artstyle,style
5762,dangerousg,,0,0
5597,danny,,0,0
5240,dapper,,0,0
5418,dapperness,,0,0
528,dare,9,personalities,style
5219,daring,,0,0
1059,dark,,0,0
383,darker,7,color,character
5836,darkermore,,0,0
3810,darkest,,0,0
2274,darkness,,0,0
6547,darn,,0,0
6371,dash,,0,0
6507,dashing,,0,0
801,data,0,0,0
5972,date,,0,0
1919,dated,,0,0
5370,dating,,0,0
6368,daughter,,0,0
6364,dawn,,0,0
6275,dawson,,0,0
871,day,,0,0
1576,daynight,,0,0
1648,days,,0,0
1564,daytime,,0,0
5084,dbc,,0,0
2786,de,,0,0
2600,dea,,0,0
1989,dead,,0,0
2,deadly,9,personalities,style
5441,deaf,,0,0
1825,deal,,0,0
913,dealer,,0,0
891,dealers,,0,0
536,dealing,11,experience,style
5109,dealt,,0,0
2741,death,,0,0
5870,dec,,0,0
3540,decade,,0,0
5472,decades,,0,0
3350,decay,,0,0
3554,decaying,,0,0
1419,decent,,0,0
3953,deceptive,,0,0
6415,decide,,0,0
4757,decided,,0,0
811,deciding,0,0,0
5349,decision,,0,0
1218,decisions,,0,0
1878,decisive,,0,0
4799,deck,,0,0
1268,decked,,0,0
6147,deco,,0,0
5879,decoration,,0,0
6130,decorations,,0,0
3693,decrepit,,0,0
5788,dector,,0,0
3524,dedicated,,0,0
1320,dedication,,0,0
2142,deep,,0,0
3923,deeper,,0,0
2608,deer,,0,0
3977,def,,0,0
4804,default,,0,0
2559,defeat,,0,0
2746,defeated,,0,0
4184,defeating,,0,0
1748,defend,,0,0
3090,defended,,0,0
1767,defender,,0,0
1790,defenders,,0,0
1709,defending,,0,0
3702,defensable,,0,0
1795,defense,,0,0
3463,defenses,,0,0
4726,defensible,,0,0
2466,defensive,,0,0
1324,defga,,0,0
3081,defined,,0,0
4835,definite,,0,0
122,definitely,0,0,0
1587,definition,,0,0
1973,deformed,,0,0
5630,defy,,0,0
1427,defying,,0,0
2290,degree,,0,0
2119,degrees,,0,0
5122,deisgned,,0,0
5553,dejected,,0,0
5256,delegating,,0,0
6247,delgados,,0,0
2465,delivered,,0,0
6235,demeaner,,0,0
1191,demeaning,,0,0
449,demeanor,9,personalities,style
5398,demeanors,,0,0
4090,demolish,,0,0
2076,demon,,0,0
2089,demonic,,0,0
3994,demure,,0,0
6334,denim,,0,0
3616,dense,,0,0
5460,department,,0,0
4558,depend,,0,0
1773,depending,,0,0
2923,depends,,0,0
753,depict,0,0,0
2765,depicted,,0,0
2068,depicting,,0,0
366,depiction,12,fitdesc,style
3287,depictions,,0,0
702,depicts,0,0,0
4728,deploy,,0,0
4886,depp,,0,0
3148,depressing,,0,0
1454,depth,,0,0
2305,derivative,,0,0
2747,descend,,0,0
3661,descending,,0,0
1653,descent,,0,0
1808,describe,,0,0
836,described,0,0,0
1603,describes,,0,0
1628,descript,,0,0
10,description,12,fitdesc,style
412,descriptiona,12,fitdesc,style
544,descriptioni,12,fitdesc,style
507,descriptions,12,fitdesc,style
1750,descriptive,,0,0
1753,descriptor,,0,0
218,descritptions,12,fitdesc,style
2222,desert,,0,0
3669,deserted,,0,0
8,design,0,0,0
4771,designa,,0,0
717,designed,0,0,0
5243,designer,,0,0
1571,designing,,0,0
140,designs,8,artstyle,style
6437,designwise,,0,0
2960,desirable,,0,0
3000,desire,,0,0
5918,desired,,0,0
5809,desktop,,0,0
4813,desolate,,0,0
3360,desolation,,0,0
3578,despair,,0,0
3687,desparate,,0,0
3545,desperate,,0,0
3502,desperately,,0,0
3153,desperation,,0,0
6273,despicable,,0,0
4223,despite,,0,0
2380,dessert,,0,0
5185,destiny,,0,0
3837,destitute,,0,0
6063,destroy,,0,0
3549,destroyed,,0,0
4422,destroyer,,0,0
3556,destructed,,0,0
3295,destruction,,0,0
3495,destructive,,0,0
6057,detached,,0,0
1238,detail,,0,0
804,detailed,8,artstyle,style
6494,detailreal,,0,0
358,details,8,artstyle,style
5729,detect,,0,0
4904,detective,,0,0
5751,detector,,0,0
3632,deteriorate,,0,0
3539,deteriorated,,0,0
1121,determination,,0,0
6441,determine,,0,0
3095,determined,,0,0
4181,detracts,,0,0
4699,detriment,,0,0
3642,devastation,,0,0
4544,developed,,0,0
5717,device,,0,0
4130,devices,,0,0
6649,devilmaycare,,0,0
5563,devour,,0,0
2853,dg,,0,0
1300,didnt,,0,0
2422,die,,0,0
4101,diet,,0,0
1511,difference,,0,0
1531,differences,,0,0
466,different,0,0,0
3557,differentiate,,0,0
1660,difficult,,0,0
4515,difficulties,,0,0
2282,dig,,0,0
4135,digital,,0,0
5021,digitalized,,0,0
5002,digitized,,0,0
2694,dignified,,0,0
6478,diguise,,0,0
3555,dilapidated,,0,0
5099,dimensional,,0,0
4710,dimensions,,0,0
4998,dino,,0,0
5012,dinos,,0,0
4999,dinosaur,,0,0
5005,dinosaurs,,0,0
1823,dire,,0,0
6656,directed,,0,0
4281,directing,,0,0
3263,direction,,0,0
